418 NEW ANALYTICAL SCATTERING-FACTOR FUNCTIONS
Table 1. Parameters of analytical scattering-factor functions
(a) For neutral atoms
Atom # aI###### bI####### a2###### b2###### a3#####  b3#####  a4###### b4####### a5###### b5###### c#######
Fe RHF 12.311098 5.009415 1.87462.3 0.014461 3.066177 10.743041 2.0704.51 02.767074 6.975185 0.346506 -0,304931
Co RHF 12.914510 4.507138 2.481908 0.009126 3.466894 16.438130 2.106351 76.987317 6.960892 0.314410 -0.936572
Ni RHF 13.521865 4.077277 6.947285 ~ 0.286763 3.866028 14.622634 2.135900 71.966078 4.284731 0.004437 -2.762697
Cu RHF 14.014192 3.738280 4.784577 0.003744 $.056806 13.034982 1.457971 72.$$4793 6.932996 0.265666 -3~77
Zm RHF 14.741002 3.3882.32 6.907748 0.24.3315 4.642,337 11.903689 2.191766 63.312130 30.424042 0.000397 -,36.915828
Gs RHF 15.758946 3.121754 6.841123 0.226057 4.121016 12.482196! 2.714681 66.203622 2.395246 0.007238 -0.10739~
Ge RHF 16.$40614 2.866618 1.567900 0.012198 3.727829 13.432163 3.34,5098 $0.866046! 6.785079 0.210974 0.018726
As RHF 17.025643 2.597739 4.503441 0.003012 3.715904 14.272119 3.937200 S0.437997 i 6.790175 0.19.3015 -2.984117
Se RHF 17.3~4071 2.349787 4.6,53248 0.002550 4.259489 15.579460 4.136455 45.181201 6.749163 I 0.177432 -3.160982
Br RHF 17.550570i 2.119226 $.411002 16.$$7185 3.937180 0.002481 3.08064.q 42.164009 6.7077931 0.162121 -2.492088
Kr RHF 17.655279 1.9082.31 6.048105 16.606235 4.171004 0.001598 3.446760 39.917471 6.685200 0.146896 -2.010592
Rb RHF 8.123134 15.142385 2.130042 23.$42666 6.761702 0~129372 1.156051 224.132506 17.679~47 1.713368 1.139~18
Sr RHF 17.730219 1.$63060 9.795867 14.310868 6.099763 0.120574 2.620025 135.771315 0.600053 0.120574 1.140251
Y RHF* 17.792040 1.429691 10.253252 13.132816 5.714949 0.112173 3.170516 108.197029 0.918251 0.112173 1.131787
Zr R.I-IF* 17.059771 1.310692 10.911038 12.319285 $.8211151 0.104353 3,$12513 91.777544 0.746965 0.104353 1.124859
Nb Rsv'iF* 17.951L398 1.211590 12.063054 12.246687 5.007015 0.098615 3.287667 i 75.011944 1.531019 0.098615 1.1234.52
Mo RHF 6.2.36218 0.090780 17.987711 1.108,310 12.973127 11.468720 3.451426 i 66.684153 0.210899 0.090780 1.108770
Tc RHF* 17.848964 1.005729 3.420236 41.90138:3 1.373012 119,320541 12.947364 9.781542 6.33-t,169 0.083391 1.0747214
Ru RHF* 6.271624 0.077040 17.906739 0.928222 14.123269 9.$$534,5 3.7460081 35.860670 0.900235 123.5S22~47 1.043993
Rh RHF* 6.216648 I 0.070789 17.9197301 0.856121 3.854252 33.889484 0.840326 121.686680 15.173498 9.029517 0.99~L52
Pd RHF* 6.121511 0.062549 4.7840631 0.784031 16.63168.3 8.751391 4.318258 34.48998.3 13.246773 0.7114831 0.88.3099
Ag RHF 6.073874 0.055333 17.1554,37 7.896512 4.173344 28.443739 0.852230 110.376100 17.988685 0.716809 0.7~603
Cd RHF 6.080986 ! 0.048990 18.019468 7.273646 4.018197 29.11928.3 1.303510 9~.831208 17.974669 0.661231 0.683~04
In RHF 6.196477 0.042072 18.816183 6.695665 4.0~50479 31.009791 1.638929 103.284.350 17.962912 0.610714 0,33.3097
Sn RHF 19.325171 6.118104 6.281571 0.036915 4.498866 32.529047 1.856934 95.037182 17.917310 0.~,S.ql 0.119024
#
#Atom a I I b] a2 b2 aa ba a4 b4 a5 b s , c
Sb ~ S.394956 .3.3.326523 6.549570 0.030974 19.650681 5.564929 1.827820 87.130965 17.867833 0.52.3992 -0.290`506
Te ~ 6.660.302 ~.0.31656 6.940756 0.02`5750 19.847015 S.06`5547 1.557175 84.101613 17.802427 0.487660 -0._80~___
I El-iF 19.81MS02 4.628591 6.7364593 0.027754 8.110516 31.849096 1.1709~ 84"406391 17~187151 0.463550 -0.448811
Xe RJ-IF 19.978920 4.163356 11.774945 0.010142 9.332182 28.796199 1.244749 7`5.280688 17.737`501 0.413616 .6.06`5902
Cs RHF 17.418675 0.399828 ~ 8.31A-A-A-A- 0.016872 10.323193 25.605828 1.383834 2.33.339674 19.876252 3.826915 -2.322802
Ba RHF 19.747344 3.481823 17.368476 0.371224 10.465718 21.226641 2.592602 173.834271 11.003653 0.010719 45.18,1497
La RI-IF* 19.966018 3.197408 27.3296~ 0.00,3446 11.018425 19.955492 .3.086696 141.381979 17.~1 0.341817 -21.74.~189
Ce I~F* 17.355121 0.328,369 63.988498 0.002047 20.~0 3.088196 3.130670 134.907661 11.3~36~5 18.832961 .38.386017
Pr RHF* 21.$`51311 2.995675 17.161729 0.312491 11.90.3859 17.716705 2.679103 152.192827 9.564197 0.010468 -3.871068
Nd KI-IF* 17.~31244 0.300269 62.783923 0.001320 12.160097 17.026001 2.663483 148.748986 22,2.399~1 2.910268 -$7.189844
Pm RHF* 17J86388 0,186620 51.560161 0.001550 12.4785`57 16.223755 2.675515 163.9845131 22.960947 2.796480 -4~.973681
Sm RI-IF* 23.700364 2.689~9 23.072215 0.00.3491 12.777782 15.49~1D7 2.684217139.862475 17"204,366 0"274.~36-17.452166
gu ~ 17.18619~ 0,261678 .37.156839 0.001995:1.3.103387 14.787.360 2.707246 134"816293 24.419271 2.`58188.3 -31.586687
Gd PJ-IF* 24.898118 2.635028 17.104951 0"246961 13.222581 13.996325 3.246152 110.863093 48.99`5214 0.001383 .4.3.`505684
Tb ~ 25.910013 2.373912 32.344139 0.002034 13.765117 13.481969 2.751404 12`5.836511 17.064405 0.236916-26.851970
Dy ~ 26.671785 2.282593 88.687577 0.000665 14.065445 12.920230 2.768497 121.937188 17.067782 0.225~;31 ~-83"279831
Ho KHF* 27.150190 2.169660 16.999819 0.215414 14.059334 12.213148 3.386979 100.506781 46.546471 ~ 0.001211 .41.165283
Er P,J-IF* 28.174886 2.120995 82.493269 0.000640 14.6240021 11.9152.56 2.8027.56 114".5299.36 17.018.51.5 0.207.519 -77.13.5221
Tm RI-IF* 28.92.5894 2.046203 76.173796 0.000656 14.904704 11.46.537.5 2.814812 111.411979 16.998117 0.199376 -70.8,39813
Yb R_HF* 29.676760 1.9776,30 6.5.624068 0.000720 1.5.1608.54 11.044622 2.830288 108.139150 16.9978`50 0.192110 -60.313812
Lu RJ-IF* 30.122865 1.88.3090 1`5.099346 10.342764 .56.314899 0.000780 3..540980 89..5.59248 16.943730 0.183849 o.51.049417
FIt E_;~F* 30.617033 1.79.5613 1.5.145.3.51 9.934469 .54.933548 0.000739 4.0962.53 76.189707 16.8961.57 0.17.5914 -49.7198.38
Ta RJ-]F* 31.066358 1.708732 1`5.341823 9.618455 49.278296 0.000760 4.$77665 66.146202 16.828.321 0.168002 -44.11902`5
W R_HF* 31.`507901 1.62948`5 1`5.682498 9.446448 37.960127 0.000898 4.88.5.509 $9.98067`5 16.792113 0.1607981 -32.864`576
Re R,X~* 31.888456 1.5492.38 16.117103 9.2.3.3474 42.390296 0.000689 `5.211669 $4.`516.371 16.767`591 0.1.5281.5 -37.412681
Os R~F* 32.210298 1.473531 16.678440 9.04969.5 48..5.59907 0.000.519 .5.4.5.5839 `50.210201 16.73.5.532 0.14.5771 .43.677984
Ir I~-IF* 32.004437 1.3.53767 1.97.54.54 81.014172 17.070104 0.128093 1~5.9394.54 7.461196 .5.990003 26.659403 4.018893
Pt EHF* .31.273891 1.316992 18.445441 8.7971.54 17.06~74.5 0.124741 .5.5.5.5933 40.177994 1..57.5270 1.316997 4.0.50394
Au PJ-IF 16.777389 0.122737 19.3171.56 8.621.570 32.979682 1.2.56902 .5.59~483 38.008821 10..576854 0.000601 -6.279078
Hg RHF 16.839889 0.11`590`5 20.02.3823 8.2`56927 28.428`565 !.19.52.50 .5.881.564 .39.247226 4.714706 1.19.52.50 4.076478
TI R~F* 16.63079~ 0.110704 19.38661.5 7.181401 32.808.570 1.119730 1.747191 98.660262 6.t.56862 ~ 26.014978 4.0669.39
Pb ~ 16.419.567 0.105499 32.738`592 1.0`5`5049 6.`530247 2.5.02.5890 2.342742 80.906.596 19.91647.5 6.664449 4.049824
Bl ~ 16.282274 0.101180 32.72.5137 1.002287 6.678302 i 2.5.71414~ 2.6947.50 77.0.57.5.50 20..576.5.59 6.291882 4.040914
Po R~IF* 16.289164 0.098121 32.807170 0.96626.5 21.09.5164 6.046622 2..50.5901 76..598071 7.254.589 28.096128 4"0465`56
At EHF* 16.011461 0.092639 32.61.5549 0.904416 8.113899 26.`54~256 2.884082 68.372961 21.377867 `5.499`512 .3.99~684
Rn ~ 16.070228 0.090637 32.64110.5 0.876409~ 21.4896.59 .5.7.39687 2.299218 69.188477 9.480184 27.632640 4.020977
Fr RHF* 16.007386 0.0870.31 32.6~830 0.840187 21..596351 4.9.54467 1.598497 199.80580`5 11.121192 26.90`5106 4"00.3472
Rs R,qF* 32.`563691 0.801980 21.396671 4.`590666 11.298093 22.7.58973 2.834688 160.406392 1.5.91496`5 0.08~.544 3.981773
Ac i~F* 1.5.914083 0.080.511 32.83`5042 0.770669 21.5`53976 4.3`52206 11.633394 21~381622 3.612409 130.S00748 3.939212
Th EH~* 1`5.784024 0.077067 32.4.54898 0.73~5137 21.849222 4.097976 4"239077 109.464113 11.736191 20..512138 3.922833
Pm RHF* 32.740208 0.709.54.5 21.973674 4.0.50881 12.9.57398 19.231542 3.68~8~2! 117.2`5`5006 1`5.7440.58 0.074040 3.886066
U ~ 15.679275 0.071206 32.824.305 0.681177 13.6604`59 18.2~6157 3.687261 112.500040 22.2794~$ .3.930325 3.8`5~.~~-
Np RIqF* 32.999899 0.6`57086 22.638076 3.8.54918 14.219973 17.63.5474 3.6729.50 109.46448.5 1.5.68324~ 0.06863.3 3.769391
Pu RHF* 33.281176 0.634999 23.148.54.5 3.856168 1`5.1`537.5.5 16.8497361 3.031492 121.292040 15.70421.5 0.0648.57 3.664200
Am E.x~* 33.43.5163 0.612785 23.657259 3.792942 1`5.576339 16.195778 3.027023 117.75700`5 1`5.746100 0.0617.5.5 3..541160
Cm EHF* 1.5.804837 0.0.58619 33.480800 0.590160 24.1`50198 3.674720 3.6`55`563 100.736192 15.499866 1`5.408296~ 3.390840
Bk RHF* 1`5.889072 0.0`5`5.503 33.62.528.5 0..569571 24.710380 3.61.5472 3.707139 97.694787 1.5.839268 14.7.56303 3.213169
Cf ~* 33.794074 0.5`50447 25.467693 3..581973 16.048486 14~357388 3.657`525 96.064975 16.008982 0.0.52450 3.00.5324
Atom a I b I a 2 b 2 a 3 b 3 a 4 b 4 a S b S ¢
#i | i | i | | s • | m i i
HI I'IF 0.702260 2.3.945605 0.7636645 74.897918 0.248678 6.77.3289 0.261323 2,~.583447 0.023017 1.3375,~ 1 0.000425
IAI+ R/IF 0.432724 0.260,367 0-549257 1.042836 0,376.575 7.885294 -0.3,36481 0,260,368 0.976060 3.0425,39 0.001764
Be2÷ RI-IF 3.055430 0.001226 -2.372617 0.001227 1.044914 1.$42106 0.544233 0.456279 0.381737 4.047479 -0.6~53773
C?v~ HF 1.258489 10.68,3769 0.728215 0.208177 1.119856 0.8,36097 2.168133 24.603705 0.705239 58.9~1274 0.019722
DI ~ 3.106934 19.8680801 -3"235142 6`960252 1.148886 0.170043 0.78,3981 65.693509 0.6769~ 0.630757 0.046136
Fl" I-IF 0.4,57649 0.917243 3.041561 5.5078031 1.4,32771 0.164955 0.801876 $1.076207 3,39~41 15.821679 0.069525
NoI÷ KHF 3.148690 2.$94987 4.073989 6`0469251 0.767888 0.070139 0.995612 14.1226457 0.9611249 0.21711,37 0.04,4t.3410
MI~÷ RJ-IF ,3.0629111 2.015803 4.135106 4.417941 0.85,~742 0.065,307 1.0.36792 9.669710 0.852520 0.187818 0.058151
AJ~ I-IF 4.132015 3.$28641 0.912049 7-378,344 1.102425 0.133708 0.6148761 0.0390651 3.2191,36[ 1.64d728 0.019397
Slv~I ~ 2.87903.3 IO.19713 i ,3.072960 i 38.706277 1.$15981 0.081481 1.3900,30 93.616,3,34 4.995051 2.770293 j 0.14641,30
Si~ ~ 3.676722 1.446851 3.820496 3.013144 1.25803.3 0.064,397 0.419024 0.206254 0.720421 5.970222 0.097266
C2I" R]-IF 1.0618021 0.144727 7.139886 1.171795 6.$24271 19.4676,56 2-355626 68-320,301 35.829404 0.0004D6 -,34.916604
K I÷ ~ -17.609~9 [ 18.840979 1.494873 0.05.345-3 7.150305 0.812940 10.899~69 22.264104 15.808228 14.351593 0.257164
Ca 2÷ R]-IF 8.$01441 10.525848 12.880483 -0.00403.3 9.765095 0.010692 7.156669 0.68444,3 0.711160 27.231772 -21.013188
S¢~ HF 7.104348 0.601957 1-511488 0.03,3.386 -$3.669773 12.$72138 38.404815 10.8.59736 24-5,32240 14.1252,30 0.1111642
Ti2÷ ~ 7.040119 0.$37072 1.496285 0.031914 9.6,57304 8.0099~8 0.006~4 201.800290 1.649561 24.0,3948,3 0.150362
TI3+ ~ 36.$87932 0.000681 7.2.30255 0.$22262 -9.086077 $.262317 2.084594 15.881716 17.294009 6.149805 -,35.111284
Ti~ HF 45.35S538 9.252186 7.092900 0.523046 ! 7.483858 13.082852 -43.498818 10.193876 1.678915 0.02.3064 -0.110628
Vs÷ ~ 7.754,356 7.066315 2.064100 0.014993 2.$76998 7.066.308 2.011484 22.055786 7.126177 0.467568 -0.533,379
V"~ I-IF 9.958400 6.763041 I.$96350 0.056895 I 1.48,3442 17.750029 -10.846044 0,328826 17.,3,32866 0-388013 0.474921
~/41+ I-~ 15.$75018 I 0.682708 8.448095 $.$66640 1.612040 10.$27077 -9.721855 0.907961 1.5,34029 0.0,~7 0.$$2676
Cr ~ I-IF 10.$98877 6.151846 I.$65858 0.02.3519 2.728280 17.432815 0.098064 34.002-388 6.959321 0.426301 0.11491170
Cr~ I-~ 7.989310! 6.068867 1.765079 0.018,342 2.627125 6.068887 1.829380 16.309285 6.980908 0.420864 -0.192123
Mns* ~ 11.287712 $.$06225 26.042414 0.000774 3.058096 ! 16.158576 0.090258 $4.766353 7.088,306 0-375580 -24.,566131
~n ~ ~ 6.926972 0.378,315 2.081342 0.015054 11,128379 i 5.379957 2.375107 14.429586, -0.419287 0.004939 -0.093713
Mn~+ ~ 12.409131 0.300400 7.46699.3 0.112814 1.809947 12.520756 -12.138477 0.168653 10.780240 $.173237 0.672146
Fe2÷ ~ 11.776765 4.912232 11.165097 0.001748 .3.5.3.3495 14.166556 0.165.34,5 42,381959! 7.0,36932 0.341324 -9.676919
Ire~ R]-IF 9.721638 4.869297 63.403845 0.00029.3 2.141347 4.867602 2.629274 13.$39076 7.033846 0.338520 -61.9,30725
Cos÷ ~ 6.993840 0.310779 26.285812 0.000684 12.254289 4.400528 0.246114 35.741448 4.017407 12.5,36393 -24.796852
Co3. I-IF 6.861739 0.309794 2.678570 0.008142 12.281889 4,331703 3.501741 11.914167 -0.179384 11.914167 -1.147345
Ni2+ ~ 12.$19017 3.9.3305.3 .37.8.32057 0.000442 4.387257 10.449184 0.661552 23.860999 6.949072 0.28,372.3 -36.344472
NI3+ H]~ 13.$79366 0.313140 1.902844 0.012621 12.859268 3.906407 .3.811005 10.894311 -6.8,38595 0.344379 -0.317618
Cu a÷ RI-IF 12.960763 3.$76010 16-342150 0.000975 i.110102 29.$23219 5.$20682 10.11428,3 6.9154,52 0.261326 -14.849320
Uu2+ HF 11.895569 3-378519 16.344979 0.000924 5.799817 8.133653 1.048804 20.$26524 6.7898811 0.254741 -14.11711383
~s+ RI-IF 1.3.340772 .3.215913 10.428857 0.001413 $.$44489 8.542680 0.762295 21.891757 6.869172 0.239215 -0.945248
Ga3+ I-IF 13.123875 2.809960 35.288189 0.000,323 6.126979 6.8,31534 0.611551 16.784312 6.724807 0.212002 -,33.875121
Ge4+ ~ 6.8766,36 2.025174 6.779091 0.176650 9.969591 .3.$7.3822 3.135857 7.685848 0.152389 16.677575 1,086,542
lit a" R.HF 17.714,310 2.122554 6.466926 19.050767 6.947385 0.152708 4.402674 58.690361 -0.697279 $8.690.373 1.152674
Rbl÷ ~ 17.684321 !.710209 7.761588 14.919863 6.680874 0.128542 2.668883 31.654478 0.070974 0.128543 1.13,3263
Sr2+ R,MF 17.694973 1.$50888 1.275762 30.133042 6.154252 0.118774 9.234786 13.821799 0.$1 $995 0.118774 1.12~1109
Y~ *DS 46.660,366 -0.019971 10.369686 13.180257 4.62,3042 0.176398 -62.1708,35 -0.016727 17.471145 1.467348 19.823141
7A"4. *D$ 6.802956 0.096228 17.699254 !.296127 10.650647 11.240715 -0.248108 -0.219259 0.250~8 -0.219021 0.827902
Nb3. *D$ 17.714323 1.172419 1.675213 30.102790 7.48,396,3 0.080255 8.322464 -0.00291L3 11.143573 10.4566117 -0.339573
Nbs~ *D$ 17.$80206 1.165852 7.633277 0.070558 10.793497 9.$07652 0.180884 31.621656 67.8,37924 -0.000438 -68.024780
Mo3. *D$ 7.447050 0.072000 17.778122 1.073145 11.886068 9.8.34720 1.997905 28.221746 1.789626 -0.011674 -I.898764
Mos+ *DS 7.929879 0.068856 [ 17.667670 1.068064 11.515987 9.046229 0.$00402 26.$$8945 77.444084 -0.0041473 -78.056,q96
Mo~ *D$ .34.757684 1.301770 9.6,530371 7.12,3843 6.584769 0.094097 -18.628115 1.61744,3 2.490594 12.33~1,34 1.141916
Ru3. *DS 17.894759 0.9028271 13.$79529 8.740579 10.729251 0.045125 2.474095 24.7649~3 48.227995 4.001699 -$1.90~242
Ru ~+ *D$ 17.84.q775 [ 0.901070 i 13.455084 8.482.3921 10.229087 0.045972 1.65,3524 23.015273 14.05979~ -0.0048119 -17.241762
RJh~* *D$ 17.758621 0.841779 14.$69813 8.31953.3 $.298.320 0.069050 2.5,3,3579 23.709131 0.8797~3 0.069050 0.960114,3
Rh4. *DS 17.716189 0.84O5721 14.446654 8.100647 5.185801 0.068995 !.703448 22.357308 8.989992 0.068995 0.9~9941
Pd~+ *DS 6.122282 i 0.062424 IS.651012 [ 8.018296[ 3.513508 24.784276 9.060790 0.776457 8.771199 0.776457 0.879.3,36
Pd~* *D$ 6.152421 0.063951 -96.069025 11.090354 31.622140 13.466152 81.578258 9.7511,302 17.801403 0.71L3014 0.915874
All~÷ *DS 6.0911921 0.0563050 4.0195261 0.719.3401 16.94817.3 7.758938 4.258638 27.368,350 13.889437 0.719340 0.785127
.44~÷ *D$ 6.4018001 0.068167 48.6998021 0.942270; 4.799859 20.6,39496 -,32.332524 1.100365 16.356710 6,118,31.31 1.0611247
Cd2÷ *D$ 6.093711 0.050624 43.909690 8.654143 17.041305 15.621.396 -39.675119 11.082067 17.9~8918 0.467591 0.(~4795
]h~~ *D$ 6.206277 0.041357 18.497745 6.605563 3.078131 18.792249 10.$24613 0.6080821 7.401234 0.6011t)112 0-292677
~uz* R.I'1F 6.3~3672 0.0.34720 4.770377 6.167891 14.672025, 6.167879 4.2,359591 29.00645~1 18.002130 0.$61774 -0.042,q19
Sna+ R/IF 15.44,q7.32 6.280898 6.420892 0.0.3.3144 4.562980 6.280899 i.713385 17.98,36~ 18.0335,36 0-5579801 -0.172219
sb,• •D$ 10.189171 0.089485 57.461917 0.375256 19.356574 5.357987 4.862206 22.1537.37 -45.,3940943 0-2977611 1.5161011
#
Sbs~- *D$ 17.920621 0.$22315 6.647932 0.029487 12.724075 $.710210 1.$$$$45 16.433778 7.600591 S.718204 -0.~71
It. R]-IF 20.010331 4.$65921 17.835523 0.444266 8.104130 32.430671 2.7.31118 9~.!49044 9.158568 0.014906 -3..3410114
CsI+ R]-W 19.939857 3.770511 24.967620 0.004040 10.378884 25J11276 0.454243 76.5,37763 17.660247 0.384730 -19.394307
Ba2÷ *DS 19.750200 3.4.30748 17.$136~ 0.361590 10.884892 21.~$8307 0.321585 70,309404 6~.14911~ 0.001418 -$9.618171
IAt3+ *DS 19.688887 3.146211 17.345704 0~39586 11.356296 18.753831 0.099418 98.3454~ 82.388127 0.001072 -76.1146~8
Ce~ *DS 26.$93Z31 3.280381 85.866429 0.001012 -6.677695 4~13575 12.111847 17.868~D3 17.48191141 0.326962 40.313426
Ce4. *DS 17.457~33 0.311812 25.659941 -0.003792 11.691037 16.568687 19.695281 2.8116295 -16.994750 ! -0.008931 ~..q I ~16
Pr~ *DS 20.879840 2.870897 36.035797 0.002364 12.135341 16.615237 0.211.3103 $3.909360 17.167803 0..306993 -~.$00784
Pr** *D8 17.496082 0.294457 21.~8809 -0.002742 20.4031IS 2.772886 12.062211 15.804613 -7.492043 -4J.013886 -9.016722
Ndl~ *DS 17.120070 0.291295 56.038141 0.001421 21.468.307 2.743681 10.000671 14.$81367 2.905866 22.4MLq09e -.q0.$41992
Pm ~" *I~ 22.221066 2.6,35767 17.068141 0.277039 12.805,423 14.927315 0.435687 45.768016 52.7,MI770 0.001485 -46.7671112
Sm~+ *DS 15.618565 0.006001 i 9.$38091 0.3063791 13.398946 14.979594 -4.358811 0.74111125 24.490462 2.454492 -9.714884
I~ 2÷ *]~ 7,3.899035 2.467332 31.657498 0.002230 : 12.955752 13.628002 1.700576 38.089480 16.992198 0.2~1~6 -26.204D16
Eu 3+ *DS 17.758327 0.244474 33.498665 -0.003901 24.067189 2.487526 13.43688.3[ 14.$68011 -9.019134 -0.0156211 -19.768026
C_~ *DS 24..3449991 2.3339711 16.94~1 ! ! 0.239215 13.866931 12.982995 0.481674i 43.876.347 93.S06377 0.000673 -418.147176
Tb3+ *DS 24.878252 2.2233011 16.856017 0.227290 13.663937 11.812528 1.279671 29.910064 39.271293 0.001527 -~.9~L31¢i
*DS 16.864.344 0.216275 90..311.3461 0.000593 13.675473 11.121207 1.687078 26.250975 25.$40652 2.135930 -115.1506~
Ho~+ *DS 16.037524 0.206873 63.221338 0.000796 13.703766 10.500283 2.061602 24.03188,3 26.202621 2.055060 -$8.026~;03
F_~ *DS 16.810128 0.198293 22.681060 0.002126 13.864114 9.973341 2.294506 22.836387 26.864478 1.979442 -17.~12461
Tm ~* *DS 16.787501 0.19~852 15.350905 0.003036 14.182~$7 9.602934 2.299111! 22.$26880 27.$73770 1.912862 -10.1921~17
Yb2÷ *D$ 28.44379~ 1.863896 16.1M9528 0.183811 14.16S081 9.225469 3.44.~11 23.691354 28.3088S3 0.001463 -23.21492~
Yb~* *DS 28.191629 1.842889 16.828086 0.182788 14.167848 9.045957 2.764962 20.799847 2.3.171773 0.0017S9 -18.103676
l.m~ *DS 28.828694 1.776641 16.82.3227 0.175560 14.247617 8.$75531 3.079559 19.693701 25.647666 0.0014~ -20.6265211
Hf ~ *D$ 29.267378 1.697911 16.792544 0.161L~13 14.785310 8.190025 2.184128 18.277579 2.3.791996 0.001431 -18.82031M
Ts s* *D$ 29.~39468 1.612934 16.741854 0.160460 15.182070 7.6~108 1.642916 17.070733 16.437446 0.001858 -11.$424~9
W~ *DS 29.729357 1.501648 17.247808 0.140803 15.184488 6.880573 1.154652 14.299601 0.739335 14.299618 3.941~157
Os 4+ *D$ 17.11~i85 0.131850 15.792.370 7.288542 2.].342,392 1.389307 4.090271 19.629425 7.671292 1.,389307 3.9~I~90
Ir~ *DS 31.$37575 1.334144 16.36.3339 7.451918 15.597141 0.127514 $.051404 21.705648 1.4369~5 0.127515 4.009459
Ir4+ *DS 30.391248 1.328519 16.146995 7.181766 17.019068 0.127337 4.458904 19.060147 0.975372 1.328519 4.04Hf865
Pt2+ *D$ 31.986849 1.281143 17.249048 7.625512 15.269374 0.12.3571 5.7502.]4 24.190826 1.694079 0.123571 4.032512
Pt 4~ *DS 41.932714 1.111409 16.339224 6.466086 17.653895 0.128917 6.012420 16.954155 -12.036877 0.778721 4.094~51
Au l÷ *DS 32.124307 1.216073 16.716476 7.165378 16.814101 0.118715 7.311565 20.442485 0.993064 ~3.095984 4.040792
Au~* *D$ 31.704272 1.215561 17.~,1~767 7.220506 16.819552 0.118812 5.522640 20.050970 0.361728 1.215562 4.042679
1411t* *D$ 28.866837 1.173967 19.2775,11 7.58.]842 16.776051 0.115351 6.281459 29.055994 3.710289 1.1739611 4.0611430
HIga÷ *DS 32.411081 1.162980 18.690371 7..329806 16.711773 0.114510 9.9748.35 22.009489 -3.847611 22.009493 4.082869
TI~÷ *D$ 32.295045 1.101544 16.$70049 0.110020 17.991013 6.528559 1.535355 52.495068 7.$$4591 20.3~i6~5 4.05,10,30
TI~+ *D$ 32.525628 1.094966 19.139185 6.900992 17.100320 0.103667 5.891115 18.489615 ! 2.599463 -0.001401 -9.256075
